text,date,platform_id,company_id
"Третий по величине океанариум мира! Почти два миллиарда рублей украдено при строительстве, но его все равно достроили и открыли. Прекрасное здание, похожее на раковину моллюска ждет вас!  Все подробности о бытовых мелочах,  а также много-многооо рыбок",09.10.2017,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
Место обязательное для посещения при отдыхе во Владивостоке. Делюсь впечатлениями: так ли он хорош. ,12.02.2021,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Дельфинарий остров Русский (Владивосток). Стоимость проезда, билетов, что взять с собой и какое время запланировать.",12.06.2020,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
Морские котики и тропические орхидеи,07.06.2022,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Приморский океанариум оставил МОРЕ впечатлений! То чувство, когда сбылись самые нереальные мечты)",19.07.2018,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Не ожидала, что так понравится! Приморский океанариум (остров Русский), Владивосток - отзыв",10.07.2018,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
Владивостоку есть чем гордиться!,01.11.2019,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"~~~Попадаешь в сказочный мир подводного царства, очень уютное место. Как везде успеть? Шоу дельфинов , котиков и моржа Миши. Кормление скатов с рук аквалангистов. Потрясающие эмоции. Много фото внутри.~~~",05.10.2017,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Пожалуй, лучший океанариум из всех, что мы видели. В нем присутствует непередаваемый дух всех морей и океанов нашей планеты! Наши впечатления и, конечно же, море фото:)",23.09.2019,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Мало текста, много фото???",26.01.2020,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
Любимый океанариум!!!,24.01.2022,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Как попасть в другую реальность, город и страну? Посетите Приморский  океанариум, море эмоций гарантировано! ",30.08.2018,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Океанариум очень понравился, гулять по нему можно целый день ",21.01.2020,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"2022 Спустя 3 года. Как испортился океанариум. 2019Оставил восхищение,а я оставляю фото. ",23.09.2019,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Приморский Океанариум это ЗРЕЛИЩЕ! Информация, стоимость билетов и много фотографий. Ссылка на официальный сайт.",15.10.2016,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Приморский океанариум - наконец то он открылся! Восторг, море положительных эмоций, необычайно достоверно передана атмосфера океана! Обязательно вернусь ещё не раз, и советую побывать всем, кто еще не видел этой красоты!!!",10.05.2017,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
"Одно из красивейших мест нашей страны, не просто океанариум, а целый научно образовательный комплекс!))  море впечатлений + море фотографий ",03.11.2017,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
Стоит посетить,10.09.2017,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
как будто в сказку попала!!!))) много фото,18.09.2016,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
стоит посетить обязательно,25.08.2019,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
Кайф,09.08.2021,irecommend.ru,"Приморский океанариум (остров Русский), Владивосток"
